index,year,month,day,hour,minute,target_temp
559,2018,3,15,6,30,18.39
560,2018,3,15,6,45,18.7
561,2018,3,15,7,0,18.97
562,2018,3,15,7,15,19.2
563,2018,3,15,7,30,19.4
564,2018,3,15,7,45,19.56
565,2018,3,15,8,0,19.68
566,2018,3,15,8,15,19.78
567,2018,3,15,8,30,19.86
568,2018,3,15,8,45,19.91
569,2018,3,15,9,0,19.95
570,2018,3,15,9,15,19.98
571,2018,3,15,9,30,19.99
572,2018,3,15,9,45,20
573,2018,3,15,10,0,20
574,2018,3,15,10,15,18
575,2018,3,15,10,30,18
576,2018,3,15,10,45,18
577,2018,3,15,11,0,18
578,2018,3,15,11,15,18
579,2018,3,15,11,30,18
580,2018,3,15,11,45,18
581,2018,3,15,12,0,18
582,2018,3,15,12,15,18
583,2018,3,15,12,30,18
584,2018,3,15,12,45,18
585,2018,3,15,13,0,18
586,2018,3,15,13,15,18
587,2018,3,15,13,30,18
588,2018,3,15,13,45,18
589,2018,3,15,14,0,18
590,2018,3,15,14,15,18
591,2018,3,15,14,30,18
592,2018,3,15,14,45,18
593,2018,3,15,15,0,18
594,2018,3,15,15,15,18
595,2018,3,15,15,30,18
596,2018,3,15,15,45,18
597,2018,3,15,16,0,18
598,2018,3,15,16,15,7
599,2018,3,15,16,30,7
600,2018,3,15,16,45,7
601,2018,3,15,17,0,7
602,2018,3,15,17,15,7
603,2018,3,15,17,30,7
604,2018,3,15,17,45,7
605,2018,3,15,18,0,7
606,2018,3,15,18,15,7
607,2018,3,15,18,30,7
608,2018,3,15,18,45,7
609,2018,3,15,19,0,7
610,2018,3,15,19,15,7
611,2018,3,15,19,30,7
612,2018,3,15,19,45,7
613,2018,3,15,20,0,7
614,2018,3,15,20,15,7
615,2018,3,15,20,30,7
616,2018,3,15,20,45,7
617,2018,3,15,21,0,7
618,2018,3,15,21,15,7
619,2018,3,15,21,30,7
620,2018,3,15,21,45,7
621,2018,3,15,22,0,7
622,2018,3,15,22,15,7
623,2018,3,15,22,30,7
624,2018,3,15,22,45,7
625,2018,3,15,23,0,7
626,2018,3,15,23,15,7
627,2018,3,15,23,30,7
628,2018,3,15,23,45,7
629,2018,3,16,0,0,7
630,2018,3,16,0,15,7
631,2018,3,16,0,30,7
632,2018,3,16,0,45,7
633,2018,3,16,1,0,7
634,2018,3,16,1,15,7
635,2018,3,16,1,30,7
636,2018,3,16,1,45,7
637,2018,3,16,2,0,7
638,2018,3,16,2,15,7
639,2018,3,16,2,30,7
640,2018,3,16,2,45,7
641,2018,3,16,3,0,7
642,2018,3,16,3,15,7
643,2018,3,16,3,30,7
644,2018,3,16,3,45,7
645,2018,3,16,4,0,7
646,2018,3,16,4,15,7
647,2018,3,16,4,30,7
648,2018,3,16,4,45,7
649,2018,3,16,5,0,7
650,2018,3,16,5,15,7
651,2018,3,16,5,30,7
652,2018,3,16,5,45,7
653,2018,3,16,6,0,7
654,2018,3,16,6,15,7
655,2018,3,16,6,30,7
656,2018,3,16,6,45,7
657,2018,3,16,7,0,7
658,2018,3,16,7,15,7
659,2018,3,16,7,30,7
660,2018,3,16,7,45,7
661,2018,3,16,8,0,7
662,2018,3,16,8,15,7
663,2018,3,16,8,30,7
664,2018,3,16,8,45,7
665,2018,3,16,9,0,7
666,2018,3,16,9,15,7
667,2018,3,16,9,30,7
668,2018,3,16,9,45,7
669,2018,3,16,10,0,7
670,2018,3,16,10,15,7
671,2018,3,16,10,30,7
672,2018,3,16,10,45,7
673,2018,3,16,11,0,7
674,2018,3,16,11,15,7
675,2018,3,16,11,30,7
676,2018,3,16,11,45,7
677,2018,3,16,12,0,7
678,2018,3,16,12,15,7
679,2018,3,16,12,30,7
680,2018,3,16,12,45,7
681,2018,3,16,13,0,7
682,2018,3,16,13,15,7
683,2018,3,16,13,30,7
